,fall,geolocation,id,mass,name,nametype,recclass,reclat,reclong,year
948,Fell,"{'latitude': '38.16667', 'longitude': '-76.38333'}",23091,24.3,St. Mary's County,Valid,LL3.3,38.166670,-76.383330,1919-01-01T00:00:00.000
949,Fell,"{'latitude': '48.45', 'longitude': '3.93333'}",23092,8300,St. Mesmin,Valid,LL6,48.450000,3.933330,1866-01-01T00:00:00.000
950,Fell,"{'latitude': '61.65', 'longitude': '27.2'}",23093,17000,St. Michel,Valid,L6,61.650000,27.200000,1910-01-01T00:00:00.000
951,Fell,"{'latitude': '43.43333', 'longitude': '2.95'}",23097,134.30000000000001,St.-Chinian,Valid,L6,43.433330,2.950000,1959-01-01T00:00:00.000
952,Fell,"{'latitude': '59.93333', 'longitude': '14.95'}",23712,34000,Ställdalen,Valid,H5,59.933330,14.950000,1876-01-01T00:00:00.000
953,Fell,"{'latitude': '49.28333', 'longitude': '15.56667'}",23713,52000,Stannern,Valid,Eucrite-mmict,49.283330,15.566670,1808-01-01T00:00:00.000
954,Fell,"{'latitude': '45.05', 'longitude': '41.98333'}",23717,1500,Stavropol,Valid,L6,45.050000,41.983330,1857-01-01T00:00:00.000
955,Fell,"{'latitude': '50.76667', 'longitude': '3.0'}",23099,4960,Ste. Marguerite,Valid,H4,50.766670,3.000000,1962-01-01T00:00:00.000
956,Fell,"{'latitude': '53.66667', 'longitude': '55.98333'}",23724,325000,Sterlitamak,Valid,"Iron, IIIAB",53.666670,55.983330,1990-01-01T00:00:00.000
957,Fell,"{'latitude': '52.53333', 'longitude': '9.05'}",23726,0,Stolzenau,Valid,Stone-uncl,52.533330,9.050000,1647-01-01T00:00:00.000
958,Fell,"{'latitude': '41.2', 'longitude': '-73.13333'}",23728,50,Stratford,Valid,L6,41.200000,-73.133330,1974-01-01T00:00:00.000
959,Fell,"{'latitude': '56.58333', 'longitude': '-3.25'}",23729,13400,Strathmore,Valid,L6,56.583330,-3.250000,1917-01-01T00:00:00.000
960,Fell,"{'latitude': '50.38333', 'longitude': '-3.95'}",23732,10400,Stretchleigh,Valid,Stone-uncl,50.383330,-3.950000,1623-01-01T00:00:00.000
961,Fell,"{'latitude': '45.96861', 'longitude': '-72.97806'}",23733,25400,St-Robert,Valid,H5,45.968610,-72.978060,1994-01-01T00:00:00.000
962,Fell,"{'latitude': '36.48333', 'longitude': '-90.66667'}",23736,3500,Success,Valid,L6,36.483330,-90.666670,1924-01-01T00:00:00.000
963,Fell,"{'latitude': '50.53806', 'longitude': '16.26333'}",23737,815.3,Suchy Dul,Valid,L6,50.538060,16.263330,1969-01-01T00:00:00.000
964,Fell,"{'latitude': '31.61667', 'longitude': '113.46667'}",23738,260000,Suizhou,Valid,L6,31.616670,113.466670,1986-01-01T00:00:00.000
965,Fell,"{'latitude': '12.66667', 'longitude': '78.03333'}",48951,110000,Sulagiri,Valid,LL6,12.666670,78.033330,2008-01-01T00:00:00.000
966,Fell,"{'latitude': '25.93333', 'longitude': '84.28333'}",23741,1710.5,Sultanpur,Valid,L/LL6,25.933330,84.283330,1916-01-01T00:00:00.000
967,Fell,"{'latitude': '44.86667', 'longitude': '133.16667'}",23745,637,Sungach,Valid,H5,44.866670,133.166670,1935-01-01T00:00:00.000
968,Fell,"{'latitude': '26.71667', 'longitude': '84.21667'}",23760,7235,Supuhee,Valid,H6,26.716670,84.216670,1865-01-01T00:00:00.000
969,Fell,"{'latitude': '38.80389', 'longitude': '-120.90806'}",55529,992.5,Sutter's Mill,Valid,C,38.803890,-120.908060,2012-01-01T00:00:00.000
970,Fell,"{'latitude': '33.18836', 'longitude': '-86.2945'}",23773,5560,Sylacauga,Valid,H4,33.188360,-86.294500,1954-01-01T00:00:00.000
971,Fell,"{'latitude': '49.4', 'longitude': '14.65'}",23776,7540,Tabor,Valid,H5,49.400000,14.650000,1753-01-01T00:00:00.000
972,Fell,"{'latitude': '36.18333', 'longitude': '5.41667'}",23778,9000,Tadjera,Valid,L5,36.183330,5.416670,1867-01-01T00:00:00.000
973,Fell,"{'latitude': '59.70444', 'longitude': '-134.20139'}",23782,10000,Tagish Lake,Valid,C2-ung,59.704440,-134.201390,2000-01-01T00:00:00.000
974,Fell,"{'latitude': '34.72', 'longitude': '137.305'}",23784,1000,Tahara,Valid,H4/5,34.720000,137.305000,1991-01-01T00:00:00.000
975,Fell,"{'latitude': '35.38333', 'longitude': '134.9'}",23789,720,Takenouchi,Valid,H5,35.383330,134.900000,1880-01-01T00:00:00.000
976,Fell,0,23791,1421,Talampaya,Valid,Eucrite-cm,0,0,1995-01-01T00:00:00.000
977,Fell,"{'latitude': '-7.75', 'longitude': '112.76667'}",23795,10500,Tambakwatu,Valid,L6,-7.750000,112.766670,1975-01-01T00:00:00.000
978,Fell,"{'latitude': '31.16333', 'longitude': '-7.015'}",48691,100000,Tamdakht,Valid,H5,31.163330,-7.015000,2008-01-01T00:00:00.000
979,Fell,"{'latitude': '35.43333', 'longitude': '136.23333'}",23801,905,Tané,Valid,L5,35.433330,136.233330,1918-01-01T00:00:00.000
980,Fell,"{'latitude': '45.4', 'longitude': '122.9'}",23873,3850,Taonan,Valid,L5,45.400000,122.900000,1965-01-01T00:00:00.000
981,Fell,"{'latitude': '32.95', 'longitude': '10.41667'}",23884,12000,Tatahouine,Valid,Diogenite,32.950000,10.416670,1931-01-01T00:00:00.000
982,Fell,"{'latitude': '19.38333', 'longitude': '43.73333'}",23885,2500,Tathlith,Valid,L6,19.383330,43.733330,1967-01-01T00:00:00.000
983,Fell,"{'latitude': '35.13333', 'longitude': '44.45'}",23887,6000,Tauk,Valid,L6,35.133330,44.450000,1929-01-01T00:00:00.000
984,Fell,"{'latitude': '46.71667', 'longitude': '23.5'}",23888,21000,Tauti,Valid,L6,46.716670,23.500000,1937-01-01T00:00:00.000
985,Fell,"{'latitude': '-25.73333', 'longitude': '142.95'}",23897,160000,Tenham,Valid,L6,-25.733330,142.950000,1879-01-01T00:00:00.000
986,Fell,"{'latitude': '58.03333', 'longitude': '26.95'}",23898,28500,Tennasilm,Valid,L4,58.033330,26.950000,1872-01-01T00:00:00.000
987,Fell,"{'latitude': '33.4', 'longitude': '70.6'}",23908,342,Thal,Valid,H6,33.400000,70.600000,1950-01-01T00:00:00.000
988,Fell,"{'latitude': '-1.00278', 'longitude': '37.15028'}",54493,14200,Thika,Valid,L6,-1.002780,37.150280,2011-01-01T00:00:00.000
989,Fell,"{'latitude': '-29.33333', 'longitude': '27.58333'}",23976,45300,Thuathe,Valid,H4/5,-29.333330,27.583330,2002-01-01T00:00:00.000
990,Fell,"{'latitude': '32.94667', 'longitude': '118.99'}",23984,2232,Tianzhang,Valid,H5,32.946670,118.990000,1986-01-01T00:00:00.000
991,Fell,"{'latitude': '49.6', 'longitude': '17.11667'}",23989,28000,Tieschitz,Valid,H/L3.6,49.600000,17.116670,1878-01-01T00:00:00.000
992,Fell,"{'latitude': '38.2', 'longitude': '-89.68333'}",23998,74800,Tilden,Valid,L6,38.200000,-89.683330,1927-01-01T00:00:00.000
993,Fell,"{'latitude': '14.25', 'longitude': '1.53333'}",23999,3000,Tillaberi,Valid,L6,14.250000,1.533330,1970-01-01T00:00:00.000
994,Fell,"{'latitude': '54.5', 'longitude': '35.2'}",24004,65500,Timochin,Valid,H5,54.500000,35.200000,1807-01-01T00:00:00.000
995,Fell,"{'latitude': '13.63333', 'longitude': '79.41667'}",24009,230,Tirupati,Valid,H6,13.633330,79.416670,1934-01-01T00:00:00.000
996,Fell,"{'latitude': '29.48195', 'longitude': '-7.61123'}",54823,7000,Tissint,Valid,Martian (shergottite),29.481950,-7.611230,2011-01-01T00:00:00.000
997,Fell,"{'latitude': '-7.08333', 'longitude': '111.53333'}",24011,20000,Tjabe,Valid,H6,-7.083330,111.533330,1869-01-01T00:00:00.000
998,Fell,"{'latitude': '-6.66667', 'longitude': '106.58333'}",24012,16500,Tjerebon,Valid,L5,-6.666670,106.583330,1922-01-01T00:00:00.000
999,Fell,"{'latitude': '47.85', 'longitude': '34.76667'}",24019,600,Tomakovka,Valid,LL6,47.850000,34.766670,1905-01-01T00:00:00.000
